@relation 'IBM-HR-Employee-Attrition_preprocess-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.Remove-R1-5,7-9,11-12,14-15,17-24,26,28-29,32-34-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V'

@attribute Education numeric
@attribute EnvironmentSatisfaction numeric
@attribute JobInvolvement numeric
@attribute JobSatisfaction numeric
@attribute RelationshipSatisfaction numeric
@attribute StockOptionLevel numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute Class_Attrition {Yes,No}

@data
3,3,3,3,3,0,3,0,Yes
3,4,2,3,1,0,3,0,No
3,2,3,2,4,0,3,0,Yes
2,2,3,4,4,0,3,0,No
1,3,3,3,4,0,3,0,Yes
3,4,3,4,3,0,4,0,No
2,2,3,4,3,0,4,0,Yes
3,2,3,3,3,0,1,0,No
1,4,3,3,4,0,2,0,Yes
1,2,3,2,4,0,3,1,No
2,1,2,4,3,0,4,1,Yes
3,4,2,2,2,0,4,1,Yes
3,2,4,4,4,0,3,1,No
3,4,2,4,2,0,3,1,Yes
3,4,2,2,4,0,4,1,No
1,4,3,3,4,0,3,1,Yes
3,3,2,3,4,0,2,2,Yes
3,1,3,1,2,0,3,1,Yes
3,4,2,1,1,0,3,1,Yes
3,4,3,4,2,0,3,2,Yes
3,1,2,3,1,0,2,2,No
3,3,4,4,4,0,3,2,No
3,3,3,3,1,0,3,2,No
1,4,3,1,1,0,3,2,No
2,3,3,4,4,0,3,0,No
2,4,2,3,1,0,4,3,No
1,1,2,2,3,0,3,3,Yes
3,3,4,2,4,0,3,1,Yes
1,3,3,3,3,0,3,3,No
1,4,3,4,1,0,2,1,Yes
3,3,2,1,1,0,2,1,Yes
1,4,2,2,3,0,4,2,No
1,3,3,4,3,0,3,2,No
1,2,3,2,2,0,3,1,Yes
1,3,3,1,4,0,3,2,No
2,4,4,4,2,2,2,1,No
3,2,3,4,3,0,3,0,No
1,3,3,4,3,1,3,2,No
3,4,4,2,1,1,2,4,No
3,1,3,2,4,1,3,2,No
1,3,2,3,3,0,3,2,Yes
1,2,3,3,1,1,4,3,Yes
1,2,1,1,1,1,2,4,No
4,3,2,4,2,1,3,0,Yes
2,2,2,3,2,0,2,4,No
1,3,3,1,3,0,3,1,Yes
2,4,3,3,4,0,4,3,No
1,3,3,1,3,1,3,0,No
1,3,3,4,3,2,2,4,No
3,1,4,1,1,1,4,3,No
1,2,3,1,4,1,4,4,No
1,1,4,3,4,0,3,2,No
1,1,3,3,2,0,3,4,No
3,4,4,3,4,1,3,2,No
1,4,2,3,1,0,3,5,Yes
1,3,3,2,3,0,1,3,No
