@relation IBM-HR-Employee-Attrition_preprocess-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute Age numeric
@attribute BusinessTravel {Travel_Rarely,Travel_Frequently,Non-Travel}
@attribute DailyRate numeric
@attribute Department {Sales,'Research & Development','Human Resources'}
@attribute DistanceFromHome numeric
@attribute Education numeric
@attribute EducationField {'Life Sciences',Other,Medical,Marketing,'Technical Degree','Human Resources'}
@attribute EmployeeCount numeric
@attribute EmployeeNumber numeric
@attribute EnvironmentSatisfaction numeric
@attribute Gender {Female,Male}
@attribute HourlyRate numeric
@attribute JobInvolvement numeric
@attribute JobLevel numeric
@attribute JobRole {'Sales Executive','Research Scientist','Laboratory Technician','Manufacturing Director','Healthcare Representative',Manager,'Sales Representative','Research Director','Human Resources'}
@attribute JobSatisfaction numeric
@attribute MaritalStatus {Single,Married,Divorced}
@attribute MonthlyIncome numeric
@attribute MonthlyRate numeric
@attribute NumCompaniesWorked numeric
@attribute Over18 {Y}
@attribute OverTime {Yes,No}
@attribute PercentSalaryHike numeric
@attribute PerformanceRating numeric
@attribute RelationshipSatisfaction numeric
@attribute StandardHours numeric
@attribute StockOptionLevel numeric
@attribute TotalWorkingYears numeric
@attribute TrainingTimesLastYear numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute YearsInCurrentRole numeric
@attribute YearsSinceLastPromotion numeric
@attribute YearsWithCurrManager numeric
@attribute Class_Attrition {Yes,No}

@data
18,Travel_Rarely,230,'Research & Development',3,3,'Life Sciences',1,405,3,Male,54,3,1,'Laboratory Technician',3,Single,1420,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0,Yes
18,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,'Sales Representative',3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,No
18,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,'Sales Representative',2,Single,1878,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0,Yes
18,Non-Travel,287,'Research & Development',5,2,'Life Sciences',1,1012,2,Male,73,3,1,'Research Scientist',4,Single,1051,13493,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0,No
18,Non-Travel,247,'Research & Development',8,1,Medical,1,1156,3,Male,80,3,1,'Laboratory Technician',3,Single,1904,13556,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0,Yes
18,Non-Travel,1124,'Research & Development',1,3,'Life Sciences',1,1368,4,Female,97,3,1,'Laboratory Technician',4,Single,1611,19305,1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0,No
18,Travel_Frequently,544,Sales,3,2,Medical,1,1624,2,Female,70,3,1,'Sales Representative',4,Single,1569,18420,1,Y,Yes,12,3,3,80,0,0,2,4,0,0,0,0,Yes
18,Non-Travel,1431,'Research & Development',14,3,Medical,1,1839,2,Female,33,3,1,'Research Scientist',3,Single,1514,8018,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0,No
19,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,'Sales Representative',3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,Yes
19,Travel_Rarely,1181,'Research & Development',3,1,Medical,1,201,2,Female,79,3,1,'Laboratory Technician',2,Single,1483,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0,No
19,Travel_Rarely,489,'Human Resources',2,2,'Technical Degree',1,566,1,Male,52,2,1,'Human Resources',4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Yes
19,Travel_Rarely,419,Sales,21,3,Other,1,959,4,Male,37,2,1,'Sales Representative',2,Single,2121,9947,1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0,Yes
